id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
1,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
2,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
3,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",General Programming,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
4,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
5,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
6,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
7,Explain the difference between stack and heap memory.,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
8,"What is a design pattern, and can you name a few?","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC.",General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
9,"Define the term ""DRY"" in software development.",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,General Programming,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
10,What is the SOLID principle?,"SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",General Program,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
11,What is the difference between an array and a linked list?,"An array has fixed size and stores elements in contiguous memory; a linked list consists of nodes with data and references, allowing dynamic size.",Data Structures,General,Easy,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
12,Explain the time complexity of an algorithm.,"Time complexity measures the time an algorithm takes relative to its input size, expressed in Big O notation.",Data Structures,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
13,Describe the difference between a binary search tree and a hash table.,"A binary search tree is hierarchical, maintaining order; a hash table maps keys to values for fast retrieval, without maintaining order.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
14,What is a linked list and how does it work?,"A linked list is a series of nodes each containing data and a reference to the next node, allowing dynamic memory allocation and efficient insertions/deletions.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
15,Explain the concept of recursion.,"Recursion is when a function calls itself to solve subproblems, with a base case to terminate recursion.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
16,"What is Big O notation, and why is it important?","Big O notation describes the upper bound of algorithm time complexity, important for comparing efficiency and growth rates.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
17,How do you perform a binary search on a sorted array?,"Binary search divides the search interval in half, repeatedly comparing the middle element to the target.",Data Structures,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
18,Discuss the advantages and disadvantages of different sorting algorithms.,Sorting algorithms vary in time/space complexity and stability. Quick Sort and Merge Sort are fast but more complex; Insertion and Bubble Sort are simple but slower.,Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
19,Explain how a hash table works.,"A hash table uses a hash function to map keys to values in an array, allowing fast O(1) access.",Data Structures,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
20,What is dynamic programming?,"Dynamic programming solves complex problems by dividing them into smaller subproblems, avoiding redundant calculations.",Data Structures,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
21,What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
22,Describe the MVC architectural pattern.,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
23,What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
24,"Explain the use of ""this"" keyword in JavaScript.","""this"" in JavaScript refers to the execution context, varying based on function calling, global scope, or event handlers.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
25,What is a closure in programming?,A closure is a function with access to its outer scope variables even after the outer function has executed.,Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
26,What are the differences between Python 2 and Python 3?,"Python 3 has print as a function, true division, Unicode support by default, and different syntax for exceptions, unlike Python 2.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
27,Discuss the role of a package manager like npm or pip.,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.",Languages and Frameworks,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
28,Explain the concept of multi-threading in Java.,"Multi-threading in Java allows concurrent execution of multiple threads, improving application responsiveness and performance.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
29,What is a Singleton pattern?,"Singleton ensures a class has only one instance and provides a global access point to it, useful for shared resources.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
30,What is a virtual function in C++?,"Virtual functions in C++ allow derived classes to override them, enabling runtime polymorphism and dynamic method dispatch.",Languages and Frameworks,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
31,"What is a database index, and why is it important?","A database index speeds up data retrieval, similar to a book's index, improving query performance.",Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
32,Explain the differences between SQL and NoSQL databases.,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.,Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
33,What is a foreign key in a database?,"A foreign key links two tables by referring to the primary key in another table, ensuring referential integrity.",Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
34,Describe the ACID properties in database transactions.,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).",Database and SQL,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
35,How do you optimize a SQL query for better performance?,"Optimize using indexes, efficient SQL, limiting data retrieval, analyzing query performance, and considering denormalization.",Database and SQL,General,Easy,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
36,What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.",Database and SQL,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
37,Explain the difference between INNER JOIN and LEFT JOIN in SQL.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
38,"What is a stored procedure, and when would you use one?","Stored procedures are precompiled SQL statements for data manipulation and logic, used for repetitive tasks and improving performance.",Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
39,"What is database denormalization, and when is it appropriate?","Denormalization introduces redundancy for performance, useful in read-heavy scenarios at the expense of storage and complexity.",Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
40,Discuss the advantages and disadvantages of using an ORM tool.,ORM simplifies database interactions and is language-agnostic. It can introduce performance overhead and may limit database features.,Database and SQL,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
41,What is the Document Object Model (DOM)?,"The DOM is a tree-like representation of a web page's structure, allowing manipulation of content, structure, and style via programming languages.",Web Development,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
42,Explain the difference between HTTP and HTTPS.,"HTTP is an unsecured data transmission protocol; HTTPS is secure, encrypting data in transit using SSL/TLS.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
43,What is CORS (Cross-Origin Resource Sharing)?,"CORS is a security measure allowing or restricting resources requested from another domain, managed via HTTP headers.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
44,Describe the purpose of a web server like Apache or Nginx.,"Web servers handle HTTP requests, serve content, manage security, routing, and can act as reverse proxies for application servers.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
45,"What is a cookie, and how does it work?","Cookies are data stored on the user's computer by the web server, sent with HTTP requests for session management, tracking, and storing preferences.",Web Development,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
46,What is a session in web development?,"A session maintains stateful information across multiple HTTP requests, typically for user authentication and data storage.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
47,Explain the concept of responsive web design.,"Responsive design ensures web content functions across different devices and screen sizes, using CSS media queries and flexible layouts.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
48,Describe the differences between GET and POST requests.,"GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
49,What is the importance of SEO in web development?,"SEO enhances a website's visibility in search engine results, improving organic traffic and user reach through optimized content and structure.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
50,How does a web browser render a web page?,"Browsers parse HTML to create a DOM, fetch resources, build a rendering tree, apply CSS, calculate layout, and paint the page on the screen.",Web Development,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
51,"What is unit testing, and why is it important?","Unit testing evaluates individual code components, ensuring correctness and facilitating early defect detection.",Software Testing,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
52,Explain the difference between black-box and white-box testing.,Black-box tests functionality without internal code knowledge; white-box tests internal code logic and structure.,Software Testing,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
53,What is regression testing?,"Regression testing ensures new code changes don't break existing features, maintaining functionality over updates.",Software Testing,General,Easy,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
54,Describe the purpose of code reviews.,"Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.",Software Testing,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
55,What is continuous integration (CI) and continuous delivery (CD)?,CI involves frequent code integration and testing; CD extends CI by deploying changes to production automatically after testing.,Software Testing,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
56,Explain the concept of code coverage in testing.,"Code coverage measures the extent of code tested, assessing test thoroughness and identifying untested areas.",Software Testing,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
57,What is a test case and how do you write one?,"A test case outlines test conditions, inputs, and expected results, structured with objective, steps, and documentation.",Software Testing,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
58,"What is load testing, and why is it necessary?","Load testing evaluates system performance under expected load conditions, identifying bottlenecks and scalability issues.",Software Testing,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
59,Describe the differences between manual and automated testing.,Manual testing is human-driven; suitable for exploratory and UX testing. Automated testing uses tools for repetitive tasks; suitable for regression and performance testing.,Software Testing,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
60,What is a bug tracking system?,"A bug tracking system logs, manages, and resolves issues in software development, ensuring systematic problem handling.",Software Testing,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
61,"What is Git, and how does it work?","Git is a distributed version control system for tracking changes in source code, allowing collaborative work and branch management.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
62,Explain the difference between Git and SVN (Subversion).,"Git is distributed, with local repository copies; SVN is centralized, requiring network connectivity for repository access.",Version Control,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
63,"What is a merge conflict, and how do you resolve it in Git?",Merge conflicts occur when changes in different branches clash. Resolve by manually editing files and committing the result.,Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
64,Describe the purpose of branching in version control.,"Branching isolates development work without affecting other parts of the repository, aiding in feature development and experimentation.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
65,"What is a pull request (PR), and how does it work?","A PR is a request to merge code from one branch to another, facilitating code review and discussion before integration.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
66,How do you handle code conflicts in a team project?,"Resolve code conflicts through communication, careful review, manual merging, testing, and documenting resolutions.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
67,"What is code refactoring, and why is it important?","Refactoring improves code structure and readability without altering functionality, enhancing maintainability and quality.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
68,Explain the role of Git branching strategies like GitFlow.,"GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
69,"What is Git rebase, and when would you use it?",Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.,Version Control,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
70,Discuss the advantages of distributed version control systems.,"Distributed systems allow offline work, flexible branching/merging, faster operations, redundancy, and collaborative workflows.",Version Control,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
71,Describe the concept of microservices architecture.,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.",System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
72,"What is a load balancer, and why is it used in web applications?","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability.",System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
73,Explain the importance of caching in web applications.,"Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience.",System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
74,What is a CDN (Content Delivery Network)?,"A CDN is a network of servers for delivering content efficiently to users based on geographic proximity, reducing latency and load times.",System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
75,Discuss the pros and cons of monolithic vs. microservices architecture.,Monolithic is simple but less scalable; microservices offer scalability and flexibility but are complex to manage.,System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
76,What is a stateless vs. stateful service?,"Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions.",System Design,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
77,Explain the concept of CAP theorem in distributed systems.,"The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.",System Design,General,Easy,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
78,How do you ensure data consistency in a distributed database?,"Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies.",System Design,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
79,Describe the role of a reverse proxy in a web application.,"A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.",System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
80,"What is a message broker, and when would you use one?","A message broker facilitates communication in distributed systems through asynchronous messaging, used in event-driven architectures and high-volume scenarios.",System Design,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
81,"What is SQL injection, and how can it be prevented?","SQL injection exploits vulnerabilities to execute malicious SQL. Prevent with parameterized queries, input validation, and least privilege access.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
82,Explain the concept of Cross-Site Scripting (XSS).,"XSS injects malicious scripts into web apps, executed by users' browsers. Prevent with input validation, output encoding, and CSP.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
83,What is two-factor authentication (2FA)?,2FA adds extra security by requiring two verification forms: something known (password) and something possessed (device).,Security,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
84,Describe the process of password hashing and salting.,"Hashing transforms passwords into hashes using algorithms; salting adds randomness, enhancing security against attacks.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
85,"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
86,How do you protect against session fixation attacks?,"Protect by regenerating session IDs post-authentication, using unpredictable IDs, and tying IDs to user authentication.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
87,Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Security,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
88,What is a DDoS (Distributed Denial of Service) attack?,"A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
89,How can you secure sensitive data in a mobile app?,"Secure data by encrypting at rest and in transit, using secure authentication, and following best practices.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
90,Discuss the importance of security in API design.,"API security is vital to protect data and prevent unauthorized access, using authentication, validation, rate limiting, and encryption.",Security,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
91,"What is Docker, and how does it work?","Docker is a containerization platform packaging applications with dependencies, ensuring consistent environments across systems.",DevOps,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
92,Explain the concept of container orchestration.,"Container orchestration automates deployment, scaling, and management of containers, optimizing resource use and handling failures.",DevOps,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
93,"What is Kubernetes, and why is it popular in container management?","Kubernetes is an open-source container orchestration platform automating deployment and management, known for its scalability and community support.",DevOps,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
94,Describe the process of continuous integration and continuous delivery (CI/CD).,"CI/CD automates build, test, and deployment processes, delivering code changes rapidly and reliably to production.",DevOps,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
95,What is infrastructure as code (IaC)?,"IaC manages infrastructure using code, ensuring consistency, automation, and version control in deployments.",DevOps,General,Easy,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
96,How do you monitor the performance of a web application?,"Monitor using tools to collect and analyze data on response times, resource utilization, error rates, and user experience.",DevOps,General,Hard,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
97,Discuss the importance of automated testing in CI/CD pipelines.,"Automated testing in CI/CD ensures code changes are defect-free, enhancing reliability and speeding up delivery.",DevOps,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
98,"What is Blue-Green deployment, and when would you use it?",Blue-Green deployment alternates between two production environments for easy rollbacks and minimal downtime during updates.,DevOps,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
99,Explain the role of a configuration management tool like Ansible.,"Configuration management tools automate provisioning and management of software and infrastructure, ensuring consistency and efficiency.",DevOps,General,Medium,Kaggle,Software Engineering Kaggle,Technical,English,"software engineering, oop, sdlc",2026-07-09 12:52:35
